店名,網址,星級,評論,回復,地址
瓦城泰國料理 - 台北三越信義店,https://www.google.com.tw/maps/place/%E7%93%A6%E5%9F%8E%E6%B3%B0%E5%9C%8B%E6%96%99%E7%90%86+-+%E5%8F%B0%E5%8C%97%E4%B8%89%E8%B6%8A%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abb0a4722229:0x4c445651e4bfad0d!8m2!3d25.0366706!4d121.5667018!16s%2Fg%2F1tfzdg80?authuser=0&hl=zh-TW&rclk=1,4.2,699,,
1010 Hunan Cuisine Eslite Xinyi Restaurant,https://www.google.com.tw/maps/place/1010+Hunan+Cuisine+Eslite+Xinyi+Restaurant/data=!4m6!3m5!1s0x3442abbbd49806cb:0x4ac814615eaf6055!8m2!3d25.0397197!4d121.5658739!16s%2Fg%2F1v_skyyg?authuser=0&hl=zh-TW&rclk=1,4.3,1012,,
三井cuisine M,https://www.google.com.tw/maps/place/%E4%B8%89%E4%BA%95cuisine+M/data=!4m6!3m5!1s0x3442abba290beacd:0x3888052f8882411!8m2!3d25.0385722!4d121.5662876!16s%2Fg%2F1tf5hbh5?authuser=0&hl=zh-TW&rclk=1,4.2,1125,,
Just Grill,https://www.google.com.tw/maps/place/Just+Grill/data=!4m6!3m5!1s0x3442abbbd4368d49:0xcf609415fc31e327!8m2!3d25.0397197!4d121.5658739!16s%2Fg%2F11cjpb90v7?authuser=0&hl=zh-TW&rclk=1,4.3,1676,,
MAiSEN 邁泉豬排信義新光 A9,https://www.google.com.tw/maps/place/MAiSEN+%E9%82%81%E6%B3%89%E8%B1%AC%E6%8E%92%E4%BF%A1%E7%BE%A9%E6%96%B0%E5%85%89+A9/data=!4m6!3m5!1s0x3442abb0a47226ad:0x3f68458bb79d6d32!8m2!3d25.0360125!4d121.5665906!16s%2Fg%2F11c1lw0rk0?authuser=0&hl=zh-TW&rclk=1,4.3,1270,,
泰集Thai Bazaar-微風信義店/寵物友善,https://www.google.com.tw/maps/place/%E6%B3%B0%E9%9B%86Thai+Bazaar-%E5%BE%AE%E9%A2%A8%E4%BF%A1%E7%BE%A9%E5%BA%97%2F%E5%AF%B5%E7%89%A9%E5%8F%8B%E5%96%84/data=!4m6!3m5!1s0x3442abbb94cbb63d:0x515c23f3a15ad278!8m2!3d25.0405044!4d121.5668964!16s%2Fg%2F11cltvn48z?authuser=0&hl=zh-TW&rclk=1,4.5,2224,,
珍寶海鮮 台北信義店,https://www.google.com.tw/maps/place/%E7%8F%8D%E5%AF%B6%E6%B5%B7%E9%AE%AE+%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abba35ad0ac5:0x6ce2ca11990604cc!8m2!3d25.0387499!4d121.5667774!16s%2Fg%2F11gdlyzh82?authuser=0&hl=zh-TW&rclk=1,4.4,2364,,
饗泰多 Siam More 泰式風格餐廳 台北信義 微風松高店,https://www.google.com.tw/maps/place/%E9%A5%97%E6%B3%B0%E5%A4%9A+Siam+More+%E6%B3%B0%E5%BC%8F%E9%A2%A8%E6%A0%BC%E9%A4%90%E5%BB%B3+%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9+%E5%BE%AE%E9%A2%A8%E6%9D%BE%E9%AB%98%E5%BA%97/data=!4m6!3m5!1s0x3442abba4b902271:0x39a07169351cd6df!8m2!3d25.0387076!4d121.56729!16s%2Fg%2F11hb1ty713?authuser=0&hl=zh-TW&rclk=1,4.5,1616,,
義米蘭信義店,https://www.google.com.tw/maps/place/%E7%BE%A9%E7%B1%B3%E8%98%AD%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abb4eb64c377:0x90bee8e333f52398!8m2!3d25.0354168!4d121.5660073!16s%2Fg%2F11pdf35pjm?authuser=0&hl=zh-TW&rclk=1,4.6,526,,
開飯川食堂 市府店,https://www.google.com.tw/maps/place/%E9%96%8B%E9%A3%AF%E5%B7%9D%E9%A3%9F%E5%A0%82+%E5%B8%82%E5%BA%9C%E5%BA%97/data=!4m6!3m5!1s0x3442abb95faee141:0xc1d5f226fef09fdb!8m2!3d25.0406227!4d121.5654586!16s%2Fg%2F1pzr2k7h4?authuser=0&hl=zh-TW&rclk=1,4.1,1111,,
